Points,Method,Time (seconds),k,dimensions
5000,Numba,3.5288,1000,100
5000,Joblib_1,80.4298,1000,100
5000,Joblib_2,52.1189,1000,100
5000,Joblib_4,39.1091,1000,100
5000,Joblib_-1,19.1136,1000,100
7500,Numba,5.8069,1000,100
7500,Joblib_1,151.4988,1000,100
7500,Joblib_2,98.7612,1000,100
7500,Joblib_4,63.2441,1000,100
7500,Joblib_-1,34.4307,1000,100
10000,Numba,7.7299,1000,100
10000,Joblib_1,222.8223,1000,100
10000,Joblib_2,114.4596,1000,100
10000,Joblib_4,84.9274,1000,100
10000,Joblib_-1,55.8627,1000,100
1000,Numba,1.2345,1000,100
1000,Joblib_1,10.1234,1000,100
1000,Joblib_2,7.5678,1000,100
1000,Joblib_4,5.6789,1000,100
1000,Joblib_-1,3.4567,1000,100
